Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_10,sma_25,sma_75,sma_125,sma_200
1985-05-17,12419.990234,12419.990234,12419.990234,12419.990234,12419.990234,0,12438.610155999995,12467.416015499995,12374.25078116,12359.301679693332,,
1985-05-20,12559.099609,12559.099609,12559.099609,12559.099609,12559.099609,0,12442.124023199995,12478.146972499995,12374.505546760003,12368.208606773333,,
1985-05-21,12650.370117,12650.370117,12650.370117,12650.370117,12650.370117,0,12471.358007599996,12492.554003699996,12392.229140520003,12379.234479159999,,
1985-05-22,12673.570313,12673.570313,12673.570313,12673.570313,12673.570313,0,12534.466015599997,12507.791015499995,12407.089570240003,12389.986484373332,,
1985-05-23,12649.129883,12649.129883,12649.129883,12649.129883,12649.129883,0,12590.432031199996,12525.253027199995,12430.941953040003,12399.430885413332,,
1985-05-24,12593.849609,12593.849609,12593.849609,12593.849609,12593.849609,0,12625.203906199997,12531.907031099994,12450.103945200004,12407.228749986667,,
1985-05-27,12642.730469,12642.730469,12642.730469,12642.730469,12642.730469,0,12641.930078199997,12542.027050699993,12468.616367080005,12415.67835936,,
1985-05-28,12694.929688,12694.929688,12694.929688,12694.929688,12694.929688,0,12650.841992399999,12561.099999999993,12491.447968680004,12424.57222656,,
1985-05-29,12767.169922,12767.169922,12767.169922,12767.169922,12767.169922,0,12669.561914199998,12602.013964899992,12513.423984320003,12434.458359373333,,
1985-05-30,12790.269531,12790.269531,12790.269531,12790.269531,12790.269531,0,12697.789843799997,12644.110937499992,12531.679960880003,12443.90608072,,
1985-05-31,12758.459961,12758.459961,12758.459961,12758.459961,12758.459961,0,12730.711914199997,12677.957910199993,12545.814374960002,12452.041679680002,,
1985-06-03,12473.410156,12473.410156,12473.410156,12473.410156,12473.410156,0,12696.847851599998,12669.388964899994,12548.54679684,12456.365143213336,,
1985-06-04,12583.30957,12583.30957,12583.30957,12583.30957,12583.30957,0,12674.523827999996,12662.682910199994,12554.827578080001,12462.054075506669,,
1985-06-05,12693.209961,12693.209961,12693.209961,12693.209961,12693.209961,0,12659.731835799996,12664.646874999995,12564.289960880002,12469.26527342667,,
1985-06-06,12716.110352,12716.110352,12716.110352,12716.110352,12716.110352,0,12644.899999999998,12671.344921899992,12574.862773400002,12477.100611973337,,
1985-06-07,12716.589844,12716.589844,12716.589844,12716.589844,12716.589844,0,12636.525976599998,12683.618945399992,12585.454765600003,12484.694348960002,,
1985-06-10,12683.339844,12683.339844,12683.339844,12683.339844,12683.339844,0,12678.511914199999,12687.679882899993,12594.716757800004,12491.125013026669,,
1985-06-11,12758.929688,12758.929688,12758.929688,12758.929688,12758.929688,0,12713.6359378,12694.079882899992,12604.821953120003,12498.644479173336,,
1985-06-12,12748.009766,12748.009766,12748.009766,12748.009766,12748.009766,0,12724.5958988,12692.163867299992,12613.894335960003,12504.786210946668,,
1985-06-13,12717.160156,12717.160156,12717.160156,12717.160156,12717.160156,0,12724.8058596,12684.852929799992,12623.600351560004,12510.056080733335,,
1985-06-14,12685.25,12685.25,12685.25,12685.25,12685.25,0,12718.537890799998,12677.531933699993,12629.917968760004,12513.697552093334,,
1985-06-17,12769.280273,12769.280273,12769.280273,12769.280273,12769.280273,0,12735.725976599997,12707.118945399992,12639.027968760005,12517.167825520002,,
1985-06-18,12741.110352,12741.110352,12741.110352,12741.110352,12741.110352,0,12732.162109399997,12722.899023599992,12648.504375040005,12520.697565106668,,
1985-06-19,12773.589844,12773.589844,12773.589844,12773.589844,12773.589844,0,12737.278124999997,12730.93701189999,12665.126757880005,12524.363164066666,,
1985-06-20,12677.969727,12677.969727,12677.969727,12677.969727,12677.969727,0,12729.440039199999,12727.122949399989,12677.473554760003,12527.872096359999,,
1985-06-21,12634.759766,12634.759766,12634.759766,12634.759766,12634.759766,0,12719.341992399999,12718.939941599989,12686.06433604,12531.701822933333,,
1985-06-24,12765.929688,12765.929688,12765.929688,12765.929688,12765.929688,0,12718.6718754,12727.198925999988,12694.3375392,12538.396223986665,,
1985-06-25,12837.019531,12837.019531,12837.019531,12837.019531,12837.019531,0,12737.8537112,12735.007910299988,12701.80351576,12545.598216173334,,
1985-06-26,12910.290039,12910.290039,12910.290039,12910.290039,12910.290039,0,12765.193750199998,12751.235937599986,12711.272304799999,12552.145286480001,,
1985-06-27,12841.599609,12841.599609,12841.599609,12841.599609,12841.599609,0,12797.919726599997,12763.679882899985,12718.97109384,12557.966210960001,,
1985-06-28,12882.089844,12882.089844,12882.089844,12882.089844,12882.089844,0,12847.385742199996,12783.363867299986,12730.500703239999,12563.48700524,,
