Date,Open,High,Low,Close,Adj Close,Volume,sma5,sma10,sma25,sma75,sma125,sma200
1985-06-28,1334.119995,1341.170044,1326.160034,1335.459961,1335.459961,9150000,1327.014014,1315.982007,1312.306006,1282.151875,1335.459961,1335.459961
1985-07-01,1334.01001,1342.180054,1322.579956,1337.140015,1337.140015,7880000,1330.330005,1319.857007,1313.712808,1283.179741,1337.140015,1337.140015
1985-07-02,1335.459961,1343.75,1329.189941,1334.01001,1334.01001,9170000,1332.526001,1322.781006,1315.012407,1284.335208,1334.01001,1334.01001
1985-07-03,1331.77002,1337.589966,1320.22998,1326.390015,1326.390015,9030000,1333.041992,1325.682007,1315.948809,1285.358141,1326.390015,1326.390015
1985-07-05,1328.290039,1340.609985,1324.930054,1334.449951,1334.449951,6000000,1333.48999,1329.154004,1317.095606,1286.202941,1334.449951,1334.449951
1985-07-08,1330.420044,1336.469971,1318.880005,1328.410034,1328.410034,7050000,1332.080005,1329.547009,1317.615606,1287.045208,1328.410034,1328.410034
1985-07-09,1324.599976,1333.670044,1313.400024,1321.910034,1321.910034,9400000,1329.034009,1329.682007,1318.054805,1287.761076,1321.910034,1321.910034
1985-07-10,1320.900024,1336.810059,1315.300049,1332.890015,1332.890015,10060000,1328.81001,1330.668006,1318.758403,1288.63361,1332.890015,1332.890015
1985-07-11,1333.219971,1343.640015,1326.160034,1337.699951,1337.699951,10170000,1331.071997,1332.056995,1319.443999,1289.67041,1337.699951,1337.699951
1985-07-12,1336.130005,1345.98999,1326.390015,1338.599976,1338.599976,11060000,1331.902002,1332.695996,1319.896797,1290.722144,1338.599976,1338.599976
1985-07-15,1333.890015,1347.670044,1326.949951,1335.459961,1335.459961,10970000,1333.311987,1332.695996,1320.658394,1291.662809,1335.459961,1335.459961
1985-07-16,1336.579956,1351.930054,1331.540039,1347.890015,1347.890015,12980000,1338.507984,1333.770996,1321.836397,1292.82521,1347.890015,1347.890015
1985-07-17,1354.609985,1365.930054,1346.209961,1357.969971,1357.969971,15510000,1343.523975,1336.166992,1323.601597,1294.041076,1357.969971,1357.969971
1985-07-18,1352.26001,1363.26001,1345.319946,1350.920044,1350.920044,12590000,1346.167993,1338.619995,1325.3848,1295.083343,1350.920044,1350.920044
1985-07-19,1351.030029,1363.349976,1346.439941,1359.540039,1359.540039,10810000,1350.356006,1341.129004,1328.162402,1296.33481,1359.540039,1359.540039
1985-07-22,1356.180054,1362.119995,1346.890015,1357.640015,1357.640015,8790000,1354.792017,1344.052002,1330.429605,1297.662542,1357.640015,1357.640015
1985-07-23,1357.079956,1372.199951,1344.76001,1351.810059,1351.810059,18070000,1355.576026,1347.042005,1332.566406,1298.899343,1351.810059,1351.810059
1985-07-24,1349.800049,1359.209961,1335.689941,1348.900024,1348.900024,12860000,1353.762036,1348.643006,1334.331607,1300.178276,1348.900024,1348.900024
1985-07-25,1349.130005,1359.880005,1338.599976,1353.609985,1353.609985,11870000,1354.300024,1350.234009,1336.580806,1301.508276,1353.609985,1353.609985
1985-07-26,1352.26001,1365.589966,1345.209961,1357.079956,1357.079956,10820000,1353.808008,1352.082007,1338.874805,1302.803477,1291.413525,1357.079956
1985-07-29,1354.280029,1358.089966,1338.930054,1343.859985,1343.859985,8560000,1351.052002,1352.922009,1339.650005,1303.872411,1291.823445,1343.859985
1985-07-30,1340.390015,1352.599976,1334.900024,1346.099976,1346.099976,10790000,1349.909985,1352.743005,1340.671602,1304.944676,1292.289205,1346.099976
1985-07-31,1347.890015,1357.410034,1340.050049,1347.449951,1347.449951,10690000,1349.619971,1351.691003,1341.648399,1306.020275,1292.774645,1347.449951
1985-08-01,1350.02002,1361.900024,1342.969971,1355.619995,1355.619995,9840000,1350.021973,1352.160999,1342.920796,1307.167874,1293.397845,1355.619995
1985-08-02,1354.280029,1360.099976,1345.430054,1353.050049,1353.050049,6220000,1349.215991,1351.512,1343.754399,1308.244408,1293.901606,1353.050049
1985-08-05,1348.569946,1352.709961,1336.920044,1346.890015,1346.890015,6640000,1349.821997,1350.437,1344.211602,1309.334541,1294.394886,1346.890015
1985-08-06,1345.880005,1350.02002,1322.920044,1325.160034,1325.160034,9710000,1345.634009,1347.771997,1343.732402,1310.115874,1294.751446,1325.160034
1985-08-07,1320.790039,1331.209961,1316.310059,1325.040039,1325.040039,7260000,1341.152026,1345.385999,1343.373604,1310.895607,1295.031127,1325.040039
1985-08-08,1324.709961,1334.790039,1318.319946,1329.859985,1329.859985,8480000,1336.000024,1343.010999,1343.512402,1311.577607,1295.350247,1329.859985
