,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_10,sma_25,sma_75,sma_125,sma_200,%K,%D
1236,1236,1989-12-19,2694.320068,2720.139893,2658.699951,2695.610107,2695.610107,21670000,2729.482031199996,2731.677001899995,2699.462792959999,2685.228792320001,2656.7451171599946,2557.580897209998,47.49123246719441,72.57793603706196
1237,1237,1989-12-20,2701.149902,2719.070068,2667.02002,2687.929932,2687.929932,20060000,2714.849999999996,2726.7929930999953,2702.5699902399992,2684.472125653335,2657.9935956799945,2559.5428466749977,37.46608519735759,68.39573521668238
1238,1238,1989-12-21,2696.459961,2714.159912,2671.719971,2691.129883,2691.129883,22750000,2702.349999999996,2723.827978499995,2704.911982439999,2684.089990240001,2659.4315956799946,2561.5413464299977,26.711964982082716,64.05079972351368
1239,1239,1989-12-22,2693.26001,2721.199951,2682.590088,2711.389893,2711.389893,11320000,2696.717968799996,2721.822973699995,2707.941181679999,2684.150123706668,2660.9117538879946,2563.6875964299984,41.794172413755106,60.63177555271683
1240,1240,1989-12-26,2711.179932,2728.879883,2694.75,2709.26001,2709.26001,7510000,2699.063964999996,2719.9249756999952,2710.205185599999,2684.146389986668,2662.547914047995,2565.7026464799983,40.10472858549793,57.224840650314356
1241,1241,1989-12-27,2711.600098,2739.1201170000004,2700.300049,2724.399902,2724.399902,12500000,2704.8219239999953,2717.151977599995,2713.899580119999,2684.412923186668,2664.676953103995,2567.7933959899983,52.11383758344744,53.66727265311213
1242,1242,1989-12-28,2725.469971,2742.530029,2709.040039,2732.300049,2732.300049,12200000,2713.695947399995,2714.272973699995,2717.619980519999,2684.7467903733345,2667.0148730239953,2569.8521960399985,58.38031071435359,50.78689323782459
1243,1243,1989-12-29,2736.350098,2763.01001,2726.959961,2753.199951,2753.199951,14580000,2726.109960999996,2714.2299804999952,2721.4767773999993,2685.729189453334,2669.4183124719957,2571.9146459899985,74.95831544281941,50.10112694269047
1244,1244,1990-01-02,2748.719971,2811.649902,2732.51001,2810.149902,2810.149902,20680000,2745.861962799996,2721.289965799995,2726.860771519999,2687.665989573334,2672.247031215995,2574.5046960349987,99.01928703461958,52.66618626751049
1245,1245,1990-01-03,2814.199951,2834.040039,2786.26001,2809.72998,2809.72998,23620000,2765.955956799996,2732.509960899995,2731.4511718799995,2689.4679882666683,2675.025351527995,2577.2408459349977,86.13548146502589,56.417541588615244
1246,1246,1990-01-04,2804.389893,2821.459961,2766.419922,2796.080078,2796.080078,24370000,2780.291991999996,2742.556957999995,2735.2139745999993,2690.9157226400007,2677.4911112959953,2579.8899963249983,78.35066616368982,59.50348495826478
